Event                                             VMSIZE      VMRSS
"Event10" 94155223040 69752160256
"Event11" 94021005312 69752344576
"Event12" 93886787584 69752283136
"Event13" 93484134400 69752209408
"Event14" 92594941952 69645176832
"Event15" 92594941952 69645176832
"Event16" 92594941952 69645176832
"Event17" 92594941952 69645176832
"Event18" 91655417856 69644394496
"Event19" 91655417856 69644394496
"Event20" 91655417856 69644394496
"Event21" 91655417856 69644394496
"Event22" 91655417856 69644414976
"Event23" 91521200128 69644443648
"Event24" 91521200128 69644443648
"Event25" 91521200128 69644443648
"Event26" 91521200128 69644443648
"Event27" 85650472960 64610979840
"Event28" 85650472960 64610979840
"Event29" 85650472960 64616706048
"Event30" 85480464384 64615890944
"Event31" 85480464384 64615890944
"Event32" 85480464384 64615890944
"Event33" 85480464384 64615890944
"Event34" 82622242816 62612160512
"Event35" 82622242816 62612221952
"Event36" 82622242816 62612221952
"Event37" 82622242816 62612221952
"Event38" 81264304128 62606102528
"Event39" 81264304128 62606102528
"Event40" 77129883648 58948362240
"Event41" 77129883648 58948362240
"Event42" 76995665920 58945900544
"Event43" 76995665920 58945900544
"Event44" 64832184320 47972339712
"Event45" 64832184320 47972339712
"Event46" 17944920064 13194735616
"Event47" 17944920064 13194735616
"Event48" 17944920064 13194735616
"Event49" 17944920064 13194735616
"Event50" 17676484608 13192753152
"Event51" 17676484608 13192753152
"Event52" 17399656448 13192630272
"Event53" 17399656448 13192630272
"Event54" 17399656448 13192630272
"Event55" 17399656448 13192630272
"Event56" 17399656448 13192630272
"Event57" 17399656448 13192630272
"Event58" 17399656448 13192630272
"Event59" 17399656448 13192630272
"Event60" 17265438720 13192568832
"Event61" 17265438720 13192568832
"Event62" 14159536128 10641948672
"Event63" 14159536128 10641948672
"Event64" 14025318400 10641805312
"Event65" 13891100672 10641739776
"Event66" 13756882944 10641674240
"Event67" 13622665216 10641559552
"Event68" 13488447488 10641494016
"Event69" 13354229760 10600685568
"Event70" 13220012032 10600550400
"Event71" 13085794304 10600484864
"Event72" 12951576576 10597883904
"Event73" 12817358848 10596741120
"Event74" 12314042368 10129305600
"Event75" 12179824640 10124644352
"Event76" 12045606912 10124578816
"Event77" 11911389184 10086707200
"Event78" 11911389184 10086707200
"Event79" 11777171456 10085908480
"Event80" 11642953728 10085748736
"Event81" 11374518272 9904889856
